interval	start	finish
2	1.1008863200990617	1.2431062462979625
4	1.3346071036089735	1.648635569413114
6	1.692848223825928	2.2964495643541216
8	2.3282773449559238	2.4661370229413695
10	3.6808031343612346	3.788329908878966
12	3.8344703451530973	4.179156719333233
14	4.259010269562458	4.79190818038832
16	6.265545332542418	6.998918903197949
18	7.057397286600433	7.187622547429903
20	7.244131705680904	7.751403949901432
22	7.910178741333697	7.996841399099304
24	8.035011745673108	8.242608012783647
26	8.348000843640893	8.578083044477893
28	9.879893071857273	10.451024775772774
30	10.883120388277632	11.0080686115294
32	11.063663639344867	11.409791807476426
34	12.971948644785934	13.16195874140411
36	13.226483979599076	13.811077485230296
38	13.922308853375613	14.539618431895716
40	15.027127882697558	15.230734239766916
42	15.610741782117724	15.881621178868452
44	16.535598479832647	16.73850850793241
46	16.789113670291044	16.902929839054927
48	16.96962074591648	17.248255417775123
50	18.024527043622378	18.29274351133064
52	18.333133115081967	18.732034567459646
54	18.793654606733597	18.847634315905783
56	18.8989554614299	19.135841041855684
58	20.287038537338027	20.480007687028365
60	20.499889103054123	20.610695822836192
62	21.046904324324377	21.453674085394912
64	21.482643619409256	21.856086235230066
66	21.935462734605988	22.40671251475201
68	23.2131627939405	23.58077423282072
70	23.602602258002953	24.70146927549764
72	25.185809455825503	25.552021502276208
74	25.602966266542865	25.637086198925243
76	25.65393384979629	25.816236391657412
78	26.31340743715167	26.536257830571063
80	26.616791513057926	27.03717432181598
82	27.100647199550256	27.35946574685704
84	27.428019898903084	27.619744130081788
86	27.79852664256559	28.271137985331503
88	28.30000694392029	28.543052395544205
90	28.61873886285891	29.010790303761784
92	29.439914779104765	29.591605232160525
94	30.1475945788086	30.326275783185977
96	30.379130033331414	30.838694389924424
98	30.913902227065623	31.459078932810744
100	31.53634220219656	31.72658014294229
102	31.915874612586364	32.388296162588546
104	33.119410975600516	33.37101366372337
106	33.46917451130631	33.55753730049513
108	33.610045989967084	33.74679360434076
110	33.77204867404954	33.83223071927884
112	34.67124888177022	35.22507969876155
114	35.343623340913965	35.85183506039615
116	36.00359163175909	36.18403111973895
118	36.23282265855124	36.568457903990705
120	37.327600989015004	37.48635745779243
122	37.63443224996944	38.174585179018635
124	38.344597451180206	38.6336826310069
126	39.073585031324	39.27909216127099
128	40.82863266327211	41.462985029723825
130	41.69734678444812	42.26105903226933
132	42.29479146924535	42.63449413248362
134	42.66477664610795	42.783744167563086
136	42.799993786804485	42.87229133302556
138	43.29032731810824	43.66066951759458
140	43.957775177499144	44.043555547664944
142	44.10912482008614	44.55007133976008
144	45.59612503538068	45.75725698522284
146	45.80892124105697	46.50565625391908
148	46.709791155955735	47.28207291222273
150	47.876721006472366	47.964007812846795
152	48.03733901451778	48.28617141826059
154	48.49970048158932	48.86534808362079
156	49.305979079063675	49.52538315852508
158	49.58240782792064	49.803499884061324
160	49.87499272744502	50.134265750865374
162	50.16519036995552	50.50599472922619
164	51.013354719526205	51.581232582462505
166	52.929976732724384	53.61592512466275
168	55.25010795886659	55.683916847752755
170	55.728470537024606	56.33859415497367
172	56.360398853942925	56.42083111664886
174	56.47008322751953	56.982275389069976
176	57.17306943635704	57.31322999821013
178	57.354937584225354	57.78376052878493
180	57.866793524961246	58.19933483561511
182	58.25189262648811	58.649471270634955
184	59.432222806999086	59.66806944318195
186	59.713146322436224	59.902899587780176
