time(s)	nformants	F1(Hz)	F2(Hz)	F3(Hz)	F4(Hz)	F5(Hz)
0.526135	4	782.702	1304.397	2581.396	3390.242	--undefined--
0.531135	4	767.034	1299.842	2584.531	3351.389	--undefined--
0.536135	4	753.534	1283.832	2583.596	3273.293	--undefined--
0.541135	4	780.853	1298.295	2581.502	3334.045	--undefined--
0.546135	4	781.656	1289.087	2567.742	3359.830	--undefined--
0.551135	4	773.088	1285.504	2597.602	3396.037	--undefined--
0.556135	4	752.427	1271.125	2624.660	3394.965	--undefined--
0.561135	4	754.130	1275.122	2619.157	3480.310	--undefined--
0.566135	4	751.150	1289.516	2611.133	3604.328	--undefined--
0.571135	4	748.154	1274.224	2612.599	3558.771	--undefined--
0.576135	4	730.247	1259.169	2622.901	3541.976	--undefined--
0.581135	4	686.931	1238.211	2658.417	3572.128	--undefined--
0.586135	4	636.869	1219.778	2720.645	3627.596	--undefined--
0.591135	4	615.031	1225.714	2734.932	3633.094	--undefined--
0.596135	4	564.451	1233.395	2700.677	3652.923	--undefined--
0.601135	5	496.792	1372.167	2570.068	3506.451	4528.920
0.606135	5	456.299	1529.785	2503.005	3403.608	4247.425
0.611135	5	462.460	1648.812	2405.763	3293.014	3768.342
0.616135	5	460.525	1863.635	2377.054	3315.348	3663.983
0.621135	5	454.184	1884.117	2401.218	3315.161	4032.969
0.626135	5	438.052	1886.590	2410.691	3313.178	4110.948
0.631135	5	421.744	1934.588	2431.382	3337.320	4089.406
0.636135	5	414.409	1997.286	2465.244	3360.703	3918.230
0.641135	5	402.125	2036.628	2502.007	3322.886	3809.121
0.646135	5	382.598	2042.510	2516.926	3250.000	3781.682
0.651135	5	370.599	2059.221	2533.256	3246.550	3856.475
0.656135	5	361.371	2075.172	2581.343	3259.780	3870.669
0.661135	5	359.811	2082.017	2632.905	3286.802	3812.655
0.666135	5	354.986	2082.292	2639.400	3303.861	3767.056
0.671135	5	351.055	2081.502	2643.617	3307.709	3867.730
0.676135	5	343.367	2078.703	2648.113	3308.006	3946.250
0.681135	5	335.246	2044.490	2628.520	3304.308	4341.374
0.686135	4	327.483	1996.533	2582.708	3331.029	--undefined--
